开始记录: 2025-04-06 21:06:39
Successfully loaded game state from D:\codes\codes_pycharm\da_chuang\Legend_of_Zelda\Legend_of_Zelda.gb.state
---------------------------------------------------------------------
Sprite [13]: Position: (103, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [19]: Position: (20, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (28, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (9, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (17, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (24, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (32, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (28, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (36, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (32, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (40, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (20, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (28, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (9, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (17, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (24, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (32, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (28, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (36, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (32, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (40, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (36, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (44, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (9, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (17, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (40, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [14]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [15]: Position: (28, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (36, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (32, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (40, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (36, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (44, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (9, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (17, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (40, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (48, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (44, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (52, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (-4, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (4, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (36, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (44, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (9, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (17, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (40, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (48, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (44, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (52, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (56, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (0, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (8, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (9, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (17, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (40, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (48, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (44, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (52, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (48, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (56, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (52, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (60, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (4, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [22]: Position: (12, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
---------------------------------------------------------------------
Sprite [13]: Position: (56, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [14]: Position: (64, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [15]: Position: (8, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (16, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (48, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (56, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (52, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (60, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (4, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (12, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (56, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (64, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (60, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (68, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (12, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (20, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (52, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (60, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (4, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (12, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (56, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (64, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (60, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (68, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (64, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (72, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (16, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (24, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (4, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (12, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (56, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (64, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (60, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (68, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (64, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (72, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (68, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (76, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (20, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [22]: Position: (28, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
---------------------------------------------------------------------
Sprite [13]: Position: (72, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [14]: Position: (80, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [15]: Position: (24, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (32, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (64, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (72, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (68, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (76, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (20, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (28, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (72, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (80, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (76, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (84, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (28, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (36, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (68, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (76, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (20, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (28, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (72, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (80, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (76, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (84, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (80, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (88, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (32, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (40, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (20, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (28, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (72, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (80, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (76, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (84, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (80, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (88, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (84, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (92, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (36, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [22]: Position: (44, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
---------------------------------------------------------------------
Sprite [13]: Position: (88, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [14]: Position: (96, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [15]: Position: (40, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (80, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (88, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (84, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (92, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (36, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (44, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (88, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (92, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (100, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (44, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (52, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (84, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (92, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (36, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (44, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (88, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (92, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (100, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (96, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (104, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (56, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (36, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (44, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (88, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (92, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (100, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (96, 32),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [20]: Position: (104, 32),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [21]: Position: (48, 32),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [22]: Position: (56, 32),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
---------------------------------------------------------------------
Sprite [13]: Position: (96, 32),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [14]: Position: (104, 32),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [15]: Position: (48, 32),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [16]: Position: (56, 32),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [17]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (96, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [20]: Position: (104, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [21]: Position: (48, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (56, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (96, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [14]: Position: (104, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [15]: Position: (96, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (104, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (56, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (96, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [20]: Position: (104, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [21]: Position: (48, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (56, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (96, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [14]: Position: (104, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [15]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (96, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (104, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (56, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (48, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (56, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (96, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [14]: Position: (104, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [15]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (96, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (104, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [22]: Position: (56, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
---------------------------------------------------------------------
Sprite [13]: Position: (96, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [14]: Position: (104, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [15]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (56, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (48, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (56, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (96, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (104, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (56, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (48, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (56, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (96, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (104, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (56, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (48, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (56, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (96, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (104, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (96, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (104, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (48, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [22]: Position: (56, 32),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
---------------------------------------------------------------------
